url,label
http://spootify.ga/account/suspended,malicious
http://twitter-secure-suspend.site/update/account,malicious
http://spotify-validation.ml/account/verify,malicious
http://amazon-billing.ml/billing/update,malicious
http://dropbox-validation.online/verify,malicious
http://spotiy.xyz/secure,malicious
http://sp0tify-login.club/security/check,malicious
http://amazon-secure-help.info/confirm,malicious
http://wellsfrgo.info/verify.php,malicious
http://linkedin-refund.net/security/check,malicious
http://suspend-amazon.net/confirm/identity,malicious
http://netfl!x.ml/billing/update,malicious
http://microsft.ga/security/check,malicious
http://twitter-access.info/update,malicious
http://apple-support.org/confirm/identity,malicious
http://twitter-center.info/login?redirect=true,malicious
http://mastercard-care.net/update,malicious
http://linkedin-auth.online/verify,malicious
http://chase-billing.site/login?redirect=true,malicious
http://visa-payment.site/update/account,malicious
http://amazon-access.club/secure/login,malicious
http://vi5a.club/secure,malicious
http://twitter-banking.gq/update/account,malicious
http://spo7ify.ga/verify.php,malicious
http://amazon-manage.gq/security/check,malicious
http://signin-microsoft.ml/login,malicious
http://instagram-secure-center.org/secure,malicious
http://google.ga/secure,malicious
http://microsoft.top/account/verify,malicious
http://microsoft-locked.org/login,malicious
http://google-verify.xyz/login.php,malicious
http://wh@tsapp.cf/verify,malicious
http://wellsfargo-help.site/account/verify,malicious
http://ne7flix.xyz/billing/update,malicious
http://apple-secure-center.online/signin.php,malicious
http://cha5e-login.org/verify,malicious
http://amazon-service.club/update/account,malicious
http://official-ebay.net/auth,malicious
http://spotify-center.ga/verify?token=abc123,malicious
http://service-visa.ml/secure/login,malicious
http://visa-warning.top/payment/verify,malicious
http://visa-secure-center.ga/account/suspended,malicious
http://bankofamerica.login-verify.org/login?redirect=true,malicious
http://spotify.xyz/billing/update,malicious
http://ma$tercard-login.tk/confirm/identity,malicious
http://twitter-reward.site/login.php,malicious
http://dropbox.account-update.club/auth,malicious
http://linkedin.ml/verify.php,malicious
http://chase-update.club/signin,malicious
http://facebook-portal.biz/login.php,malicious
http://sptify.org/verify?token=abc123,malicious
http://verify-microsoft.online/verify?token=abc123,malicious
http://dropbox-support.ml/secure/login,malicious
http://bankofamerica.login-verify.ml/account/verify,malicious
http://wellsargo.xyz/security/check,malicious
http://netflix.suspended-account.xyz/signin.php,malicious
http://free-wellsfargo.ga/login?redirect=true,malicious
http://spotify-secure-warning.net/login.php,malicious
http://securemicrosoft.tk/login,malicious
http://my-ebay.online/account/suspended,malicious
http://eb4y.top/login,malicious
http://visa-secure-warning.tk/verify,malicious
http://twitter-secure-help.xyz/account/verify,malicious
http://welllsfargo.online/billing/update,malicious
http://visa-recover.site/update,malicious
http://bankofamerica-help.club/account/verify,malicious
http://google-center.xyz/payment/verify,malicious
http://dropbx.cf/account/verify,malicious
http://facebook-portal.club/secure/login,malicious
http://whatsapp.suspended-account.top/login.php,malicious
http://wellsfargo-suspend.cf/verify?token=abc123,malicious
http://amazon-support.net/update,malicious
http://bankofamerca.biz/verify.php,malicious
http://mastercard-warning.site/confirm,malicious
http://linkedin-payment.net/confirm/identity,malicious
http://wellsfargo-portal.biz/secure/login,malicious
http://mastercard-validation.cf/signin.php,malicious
http://spo7ify.info/verify?token=abc123,malicious
http://mastercard-center.info/verify,malicious
http://link3din.gq/login.php,malicious
http://neflix.cf/account/suspended,malicious
http://microsoft-refund.info/confirm,malicious
http://bankofamerica-notification.club/update/account,malicious
http://wellsf@rgo-login.top/verify,malicious
http://apple-secure-manage.info/login?redirect=true,malicious
http://adobe-service.cf/login.php,malicious
http://masstercard.net/signin,malicious
http://@dobe.top/account/suspended,malicious
http://facebook-refund.top/verify,malicious
http://visa.id-verify.biz/security/check,malicious
http://google-confirm.biz/update,malicious
http://dropboxverify.ga/update/account,malicious
http://paypal-secure-center.biz/secure/login,malicious
http://secure-paypal.org/signin,malicious
http://twitteer.tk/update/account,malicious
http://mastercard-secure-center.org/signin,malicious
http://dropbox-locked.cf/account/suspended,malicious
http://bbankofamerica.info/confirm/identity,malicious
http://whatsapp-login.ga/security/check,malicious
http://thewhatsapp.club/login,malicious
http://facebok.site/login?redirect=true,malicious
http://googlesafe.tk/update/account,malicious
http://online-instagram.top/confirm/identity,malicious
http://chase-secure-center.top/update/account,malicious
http://linkkedin.org/auth,malicious
http://twitt3r-login.online/security/check,malicious
http://getspotify.ga/confirm/identity,malicious
http://facebook-secure-suspend.club/login?redirect=true,malicious
http://apple-locked.club/auth,malicious
http://microsoft-secure-help.info/billing/update,malicious
http://bestchase.org/account/verify,malicious
http://notification-facebook.tk/verify,malicious
http://linkedin-secure-center.biz/security/check,malicious
http://visa-suspend.gq/account/verify,malicious
http://wellsfargo-notification.ml/confirm/identity,malicious
http://spot1fy.biz/confirm,malicious
http://facebok.biz/verify?token=abc123,malicious
http://ch4se-login.online/update,malicious
